# of Epoch,# of Aggregation Epoch,Min. Aggregation Epoch,Max Aggregation Epoch,# of Push Mess.,# of Pull-Push Mess.,# of Pull Mess.,# of Outcome=FIRST,# of Outcomes=DOUBLE,# of Outcomes=REPLACE,# of Outcomes=UNSUCCESSFUL,AMD Counter,SMA Counter,DMA Counter,AMS Counter,AMD F.P. Prob.,SMA F.P. Prob.,DMA F.P. Prob.,AMS F.P. Prob.,Avegare (Estimated),Sum (Estimated),Sum Square (Estimated),Max (Estimated),Min (Estimated),Stand. Deviation (Estimated),Count (Estimated),Avegare (Actual),Sum (Actual),Sum Square (Actual),Max (Actual),Min (Actual),Stand. Deviation (Actual),Count (Actual)
0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
1.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
2.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
3.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
4.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
5.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
6.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
7.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
8.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
9.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
10.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
11.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
12.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
13.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.20000000000000095,3.3701016755521055E-83,3.3701016755521055E-83,3.3701016755521055E-83,6.740203351104256E-84,0.48223610351521695,0.48223610351521695,0.4059557769830265,0.48223610351521695,0.48223610351521695,0.0,0.576,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
15.0,0.0,0.0,0.0,2870.0,2416.0,2101.0,4517.0,0.0,0.0,0.0,8.806,10.024,10.024,1.761200000000001,2.5001090910018095E-53,8.481701729425536E-53,8.481701729425536E-53,5.000218182003587E-54,0.8340777055525215,8.370614461153682,7.024434168845934,0.9127044866880843,0.733344979287155,0.055670752936608975,10.034,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
16.0,0.0,0.0,0.0,5100.0,5093.0,5147.0,10198.0,42.0,0.0,0.0,29.256,30.382,30.382,5.851200000000009,2.420980635424955E-45,4.897143761171727E-45,4.897143761171727E-45,4.841961270849886E-46,0.8334096857763551,25.360597429555703,21.265912859952564,0.9409081857234278,0.683902556243306,0.06381296836874197,30.43,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
17.0,0.0,0.0,0.0,4860.0,4796.0,4856.0,9573.0,79.0,0.0,0.0,48.37,49.49,49.49,9.674000000000001,1.73125856692776E-40,3.323496819504281E-40,3.323496819504281E-40,3.46251713385552E-41,0.834082872593075,41.34989902060125,34.7008948213064,0.9472803746403892,0.6701084495135505,0.06446293356765329,49.576,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
18.0,0.0,0.0,0.0,5090.0,5029.0,5124.0,10077.0,76.0,0.0,0.0,68.354,69.62,69.62,13.670800000000003,1.3608953355385551E-37,2.454543991984993E-37,2.454543991984993E-37,2.721790671077116E-38,0.8338446643824156,58.14511774659481,48.784753522229224,0.9507006105035276,0.6612861018864057,0.06493583098835576,69.73,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
19.0,0.0,0.0,0.0,4840.0,4777.0,4934.0,9633.0,78.0,0.0,0.0,87.932,88.866,88.866,17.586399999999998,2.04567798918437E-35,2.691087005052817E-35,2.691087005052817E-35,4.0913559783687396E-36,0.833945245025493,74.21875828784954,62.27794673290241,0.9525349028928582,0.6551653695030746,0.06509274757754889,88.996,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
20.0,0.0,0.0,0.0,5010.0,5000.0,5084.0,9979.0,105.0,0.0,0.0,107.788,108.778,108.778,21.5576,1.3449896437668085E-33,1.6985135176075673E-33,1.6985135176075673E-33,2.689979287533617E-34,0.8338518289864623,90.85366287546704,76.2266508359742,0.9539280899033633,0.6501502930403605,0.06506830381507836,108.954,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
21.0,0.0,0.0,0.0,4970.0,4784.0,4864.0,9563.0,85.0,0.0,0.0,126.8,127.858,127.858,25.360000000000007,5.310886698006878E-32,6.680867240902525E-32,6.680867240902525E-32,1.0621773396013765E-32,0.833822240829257,106.79412424176321,89.59544052415643,0.9549582337177278,0.6437092754706337,0.06521684134392461,128.08,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
22.0,0.0,0.0,0.0,4760.0,4740.0,4816.0,9468.0,88.0,0.0,0.0,145.652,146.766,146.766,29.130399999999987,1.0356196697457105E-30,1.2048585845570552E-30,1.2048585845570552E-30,2.0712393394914157E-31,0.8338096289853654,122.58136081223182,102.84062813124622,0.9559200436443083,0.6399898993173495,0.06536555152294152,147.016,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
23.0,0.0,0.0,0.0,5030.0,4911.0,4975.0,9800.0,86.0,0.0,0.0,165.086,166.308,166.308,33.0172,1.5203106295228524E-29,1.7838741077239723E-29,1.7838741077239723E-29,3.0406212590456943E-30,0.8335973722633131,138.89194478592518,116.49883667710867,0.9565000003392712,0.6362857242216804,0.06543190727462618,166.616,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
24.0,0.0,0.0,0.0,4940.0,4824.0,4960.0,9704.0,80.0,0.0,0.0,184.708,185.686,185.686,36.9416,1.6254462067127991E-28,1.817484882764531E-28,1.817484882764531E-28,3.250892413425598E-29,0.8337151218549782,155.09305509603743,130.1074075653913,0.9571139597718301,0.6315835870585209,0.06550648540829832,186.024,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
25.0,0.0,0.0,0.0,5080.0,4955.0,5037.0,9891.0,101.0,0.0,0.0,204.298,205.394,205.394,40.85960000000001,1.3854395849202252E-27,1.5454676301907218E-27,1.5454676301907218E-27,2.770879169840443E-28,0.8335352283146298,171.54834281888554,143.88566263737135,0.9576220730014243,0.627644240929339,0.06571106673544043,205.806,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
26.0,0.0,0.0,0.0,5100.0,4970.0,5021.0,9900.0,91.0,0.0,0.0,223.94,225.154,225.154,44.78799999999999,1.0690554394825734E-26,1.2050383030311704E-26,1.2050383030311704E-26,2.1381108789651482E-27,0.8335168698098441,188.04857413279174,157.72564902669222,0.9582795224331402,0.6242115783655113,0.0658599082594785,225.606,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
27.0,0.0,0.0,0.0,4950.0,4877.0,5075.0,9858.0,94.0,0.0,0.0,243.88,244.796,244.796,48.775999999999996,6.648445442675974E-26,7.239740637110625E-26,7.239740637110625E-26,1.3296890885351956E-26,0.8335999752632702,204.50154353339659,171.53870699968053,0.958707813220141,0.6223918963020899,0.06578936759201769,245.322,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
28.0,0.0,0.0,0.0,5090.0,4961.0,4958.0,9813.0,106.0,0.0,0.0,263.162,264.374,264.374,52.63240000000006,3.4763617842379656E-25,3.779558512001162E-25,3.779558512001162E-25,6.952723568475927E-26,0.8335724678635945,220.85376486150355,185.24905294118057,0.9590604834222269,0.6194610102034884,0.06581095798958,264.948,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
29.0,0.0,0.0,0.0,4740.0,4636.0,4800.0,9341.0,95.0,0.0,0.0,282.022,282.99,282.99,56.40440000000005,1.5837965412711323E-24,1.7008715351734877E-24,1.7008715351734877E-24,3.1675930825422684E-25,0.833523379209041,236.41147010779275,198.2859960504482,0.9594367554783999,0.6170221328600652,0.06582354412237178,283.63,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
30.0,0.0,0.0,0.0,5056.0,5010.0,5165.0,10057.0,118.0,0.0,0.0,302.064,303.04,303.04,60.4128,6.552534079970898E-24,6.956831829179832E-24,6.956831829179832E-24,1.3105068159941795E-24,0.8334320460256023,253.14978746664394,212.30424257080747,0.9597932202166807,0.6154239459724328,0.06588372697088826,303.744,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
31.0,0.0,0.0,0.0,4905.0,4689.0,4800.0,9383.0,106.0,0.0,0.0,320.874,321.742,321.742,64.17480000000003,2.4102435798527385E-23,2.5643131869254255E-23,2.5643131869254255E-23,4.820487159705475E-24,0.8335425419895819,268.8259017236927,225.4805519265924,0.960187232586596,0.6125670971351788,0.06589053551833095,322.51,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
32.0,0.0,0.0,0.0,5019.0,5005.0,5122.0,10003.0,124.0,0.0,0.0,340.712,341.678,341.678,68.14239999999992,8.466018279172596E-23,8.943234576949791E-23,8.943234576949791E-23,1.6932036558345193E-23,0.8335122000568996,285.4915699762829,239.4509499755481,0.9605139742008435,0.6103004657210492,0.06590895249371424,342.516,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
33.0,0.0,0.0,0.0,5010.0,4848.0,4978.0,9675.0,151.0,0.0,0.0,359.82,360.964,360.964,71.96400000000006,2.630781270324341E-22,2.80544420245345E-22,2.80544420245345E-22,5.261562540648671E-23,0.8335080914255327,301.6180622323508,252.97552356414948,0.9607374221795437,0.6083869626542404,0.06592697084139565,361.866,0.8336878764334842,416.8439382167421,349.68084104696436,0.9621163253303904,0.597443332703327,0.0657739065417003,500.0
