# of Epoch,# of Aggregation Epoch,Min. Aggregation Epoch,Max Aggregation Epoch,# of Push Mess.,# of Pull-Push Mess.,# of Pull Mess.,# of Outcome=FIRST,# of Outcomes=DOUBLE,# of Outcomes=REPLACE,# of Outcomes=UNSUCCESSFUL,AMD Counter,SMA Counter,DMA Counter,AMS Counter,AMD F.P. Prob.,SMA F.P. Prob.,DMA F.P. Prob.,AMS F.P. Prob.,Avegare (Estimated),Sum (Estimated),Sum Square (Estimated),Max (Estimated),Min (Estimated),Stand. Deviation (Estimated),Count (Estimated),Avegare (Actual),Sum (Actual),Sum Square (Actual),Max (Actual),Min (Actual),Stand. Deviation (Actual),Count (Actual)
0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
1.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
2.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
3.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
4.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
5.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
6.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
7.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
8.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
9.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
10.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
11.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
12.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
13.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.19999999999999998,3.370101675552103E-83,3.370101675552103E-83,3.370101675552103E-83,6.740203351104207E-84,0.49382342874488716,0.49382342874488716,0.4096810805912236,0.49382342874488716,0.49382342874488716,0.0,0.6,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
15.0,0.0,0.0,0.0,14.0,10.0,13.0,20.0,3.0,0.0,0.0,2.9,3.0,3.0,0.58,8.4914514351937E-72,9.43488349130333E-72,9.43488349130333E-72,1.69829028703874E-72,0.8018692471646007,2.405607741493802,1.9474688161425955,0.8619243068667792,0.7313388941853611,0.0566107158431708,3.0,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
16.0,0.0,0.0,0.0,7.0,0.0,7.0,1.0,6.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.5999999999999999,9.43488349130333E-72,9.43488349130333E-72,9.43488349130333E-72,1.8869766982606658E-72,0.8028114697616224,2.4836190511223104,2.0083264604421456,0.8619243068667792,0.7313388941853611,0.0563984902474791,3.1,0.8018692471646007,8.018692471646007,6.491562720475317,0.9102491000410242,0.6839073942849488,0.07849829615480954,10.0
